ItemID,Sentiment,SentimentSource,SentimentText
965,0,Sentiment140," @Tellman says, &quot;Crush the Commies&quot; = sad. My grandfather, RIP, was a Commie @Tellman"
966,0,Sentiment140,- @TendaiJoe well none of us are getting out of here alive but we would like to stay a while.I wish people would stop killing each other 
979,1,Sentiment140, =] happy sunday =] 
992,1,Sentiment140, Found a way to make this Private woot woot
1049,1,Sentiment140, @TheNotoriousJEN
1056,1,Sentiment140, _BellaCullen18_  i've been ok just got through crying with leah * frowns at the thought* we were talking about our dead fathers
1058,1,Sentiment140, ~ ncis!!!
1078,1,Sentiment140, gooooood morning my twitter friends!  Have a nice sunday
1079,1,Sentiment140, Gossip girl tonight!!!
1095,0,Sentiment140, Great...rosie was sooo close to getting her long overdue 'rosie day' but now has to wait.....til another day...sadness
1114,1,Sentiment140, 63/100 for my MSC120 Assignment that was incomplete!!!! Relief
1135,0,Sentiment140, all the firends i make in the airport has to leave before i do...
1175,0,Sentiment140, All i can say is DAM IT TO HELL!!!!!!!!!!!!
1194,1,Sentiment140, happy birthday to me and mom! Why am i always the first one up? So here i am falling off the bed cuz someone is a bed hog  
1198,1,Sentiment140, happy to see him
1207,0,Sentiment140, hate my life..hate coming home..
1294,0,Sentiment140, how much rain can we take?
1297,0,Sentiment140, http://tinyurl.com/llb9vf Poor boy was autistic &amp; loved water. Wish I could say he died with what he loved. But drowning's awful. 
1405,1,Sentiment140, brooklyn bridge for the first time ever. yay life =D
1437,0,Sentiment140, I dunno what to do now.
1489,0,Sentiment140, bored and no one is talking anymore.
1492,0,Sentiment140, BOREDD I WANT TO GO HOMMMMME.
1543,0,Sentiment140, chop my hand off please! Advil isn't working
1570,1,Sentiment140," I have finally seen Clerks, from beginning to end and no TV swear-word editing (poor Jay! xD). I feel somehow fulfilled."
1594,0,Sentiment140, I just made a $1k principal payment on my student loans because I realized my monthly payments only go to interest. ):
1601,0,Sentiment140, I just wanna curl up and go back to bed!
1614,0,Sentiment140, Cardinals lost...AGAIN!
1650,0,Sentiment140,- curiousity killed the cat... so much for wishing for the dream job... 
1711,0,Sentiment140, i miss my boys....
1712,0,Sentiment140, I miss my brycey alreadt... oside bound.
1733,1,Sentiment140, Dodgers are doing good today. ^3  6-0 Dodgers 2 outs
1734,0,Sentiment140,- doesn`t have a phone. 
1762,0,Sentiment140, everyone hates canada! No @Mileycyrus and no @mitchelmusso who wants to road trip to fargo to see @mitchelmusso cause i sure am!
1808,0,Sentiment140, dont go i got luv for my 100th follower lol @rashagirl28
1816,0,Sentiment140," Dropping my mom off at the airport, then distracting myself from being sad with museum hopping in LA!"
1822,1,Sentiment140, i oove you. bahaa
1871,0,Sentiment140," em chï¿½n cï¿½i trï¿½nh ?? English c?a th?ng AR47 quï¿½, v?y mï¿½ nï¿½ c? ng?i s?a em hoï¿½i huhu"
1876,0,Sentiment140, europe cruise mite be cancelled; there was a fire that happened on our ship..... My summer is officialy ruined. 
1894,0,Sentiment140, fantastic..it's probably cause of the messaging last night/morning..
1914,1,Sentiment140, fingers crossed another enjoyable night cause of someoneeeee
1920,0,Sentiment140, Flower died.
1926,0,Sentiment140," forgot about my spanish essay. hopefully, i finish before 3 AM."
1960,0,Sentiment140, I wish I could play guitar..... my guitar I got a few christmas`s ago is collecting dust! I need to learn! haha
1974,0,Sentiment140,- Ii cant beleivee the ppl that imm losinng 
2055,0,Sentiment140, I'm gonna pull an all-nighter. Hopefully I won't fall asleep 'cause I'm pretty tired. I want a Mocha BK Joe!
2075,0,Sentiment140," I'm really annoyed about this telstra bill, but I can't ring them cause well I only have my mobile -_-"
2076,0,Sentiment140," im really gonna miss talking to all my tweeps. But, im gonna keep a pen and paper blog, and post it after tour and i should have pics too"
2091,1,Sentiment140, god i love this tune    ? http://blip.fm/~60u8d
2112,1,Sentiment140, Good morning sunshine!!!
2129,0,Sentiment140, got sick at work...kinnda feel faint
2281,0,Sentiment140, Hate Holidays
2294,1,Sentiment140, Having A Very Nice Day
2316,0,Sentiment140, -is sad-
2341,0,Sentiment140, I've been bitten by bitey things all over my legs and it itches like fuck!
2346,0,Sentiment140, I've got to work in 5 hrs and I don't want to leave this party.
2356,0,Sentiment140," jb is in toronto, soundchecking "
2370,0,Sentiment140," how much crying can one person really do? I mean come on, i can't go to work sniffily and puffy eyed. It's all my fault."
2379,0,Sentiment140, http://psychcentral.com/maniaquiz.htm  Good thing you can't TRUST online quizzes
2428,0,Sentiment140, http://bit.ly/MisVv  please find him ok. Can't stand this tearing Ryry apart 
2435,0,Sentiment140, i am so over it all.  
2454,0,Sentiment140," just been taken into a pet shop with @staceynoir tarantulas and mini crocodiles, ah quite scared. But i want a bearded dragon."
2486,0,Sentiment140, last day of holidays...I wanna cry. http://tinyurl.com/q8428o
2500,0,Sentiment140, i cant see anything!!!!!! Im from spain and i cant see it!!! It isnt fair!
2575,0,Sentiment140, i feel bad now.
2656,0,Sentiment140, I hate packing!
2688,0,Sentiment140, lets get like icecream after to make u feel better!
2752,1,Sentiment140, i just got song a lullaby by none other than thee infamous matthew. xD i still can't sleep but thanks for the effort.
2854,0,Sentiment140," I just saw a huge spider crawling on my wall, then it went behind my bed!!"
2887,0,Sentiment140, I miss all my babies back home. Someone cuddle me via esp!
2901,1,Sentiment140, My girlies are going to be here in approx. 3 - 3 1/2 hours.  Road Trip!!!!
2936,1,Sentiment140, I LoVe SoUtH aMeRiCa (=
2973,0,Sentiment140, i need to cheer up! Argh. i hate it when i'm like this.
2980,0,Sentiment140," i miss the seniors already. last day of school, graduation and Grizzly Bear tomorrow. it was the best of times, it was the worst of times"
2981,0,Sentiment140, i miss the suspense of waiting for the harry potter books to come out. best books ever! too bad the movies SUCK. i'll still see 6 though!
2982,0,Sentiment140, i miss trixiee and monica ((
2985,0,Sentiment140, i missed the game
3078,0,Sentiment140, I wanna be at Encounter  blah.
3085,0,Sentiment140, i want  my  mcfly  album  back 
3089,0,Sentiment140, I want a regular day
3096,0,Sentiment140, I want to go on facebook. I can feel the notifications piling up. I don't like it. Shit.
3106,0,Sentiment140," I wish I could do somthing amazing. no tallent that i know of. apart from Lame jokes, &amp; my dolphine noise. I'll let u know when i find it"
3197,1,Sentiment140, omfg! 7:30. ekkkkk! im so excited to see paramore! im only going cause paramore is going to be there. (: and this is my birthday present!
3225,1,Sentiment140, Im am going to send some twits to some folk...............
3232,1,Sentiment140,- i'm confused with this twitter lark 
3339,1,Sentiment140, im pretty sure it would fit into my pants as well!! @beaulieu85 its amazing but i jus found my tiny lil greg guy that i got from pbmall
3346,0,Sentiment140, I'm seriously not feelin the BB10 vibe this year. That eviction lacked something..
3412,0,Sentiment140, she just plain freaks me out.....
3497,0,Sentiment140,- Soooo many voicemails to return and emails to answer... I guess I should get out of bed first. 
3505,1,Sentiment140, i'd rather have you and my girlfriend at my crib runnin round naked  girl gotta girlfriend on in bed.. Nice work @MamsTaylor
3506,0,Sentiment140, idk wat to do! someone get me out of this house... fast.... to much tension that i dont even noe about! (left out)
3508,0,Sentiment140, If everyone in the world lived like me we would need 3.1 planets to support us.  http://tinyurl.com/lt4q4m
3514,1,Sentiment140, Iï¿½m feeling greate 
3539,0,Sentiment140," im lonly, my friend emily just went home. lol. MISS U ALREADY! lol&lt;3"
3545,0,Sentiment140, sorry my postg seems unable to help anymore.
3572,0,Sentiment140, Stressed!
3625,1,Sentiment140, Inky's eating crackers!
3631,1,Sentiment140," Is finishing off the semester, with less than a week remaining!"
3688,0,Sentiment140, thanks for caring  &lt;3@BbyAshBash
3698,0,Sentiment140, that was not the best day 
3744,0,Sentiment140,- It's all gone Pete Tong... 
3821,1,Sentiment140, Just  bathed spud! he's all nice and pretty
3823,0,Sentiment140,- Just broke the slide to the bong. Wow. What a fucking dumbass. 
3833,1,Sentiment140," Just got all my packages from Adorama, B&amp;H Photo, and Paul C. Buff."
3835,1,Sentiment140, just got home from schoollll waitin for my momma to get home then goin to get @MitchelMusso's cd  &lt;3 exciteddd hahaha
3843,0,Sentiment140, just plain sad
3895,0,Sentiment140, tired to the highest level
3917,0,Sentiment140, life goes on right? G'night.
3921,0,Sentiment140, life isn't always good right?
3934,0,Sentiment140," maan, my Mum say I'm too often in front of my PC  no that isn't right ! "
3991,0,Sentiment140, wasted a grand yesterday. Just sunk in. And sadly I'm gonna be back to shopping in a few hours. Must kick habit.
4036,0,Sentiment140, my Bday is almost over!!!!!
4058,1,Sentiment140, what a great night!
4185,0,Sentiment140, WTF was I doing  :'( WTF
4200,1,Sentiment140, you are amazing bby.
4208,1,Sentiment140, yup yup life is goooooood again... finally.....i guess the saying is true sometimes to take one step forward you do have to take two back
4256,1,Sentiment140, no finals today!  Three more days til I'm a senior 
4380,0,Sentiment140,#3turnoffwords I gotta go to work in 10 minutes 
4410,1,Sentiment140, on my way to get @jackosborne then to glasgow for florence + the machine
4423,0,Sentiment140, ouchhhhhh
4432,1,Sentiment140, pic added yay
4444,0,Sentiment140, Poor lady. I wish I could help.
4462,1,Sentiment140,#andyclemmensen i think this just might work for #andyclemmensen  
4479,1,Sentiment140,"#asot400 ALTHOUGH, i do love this track lol! hurrah for Cosmic Gate "
4506,0,Sentiment140, realised how much he like pixie tonight 
4529,1,Sentiment140,#ASOT400 SAVE SIMON FOR LAST!   cause his stuff bumps the hardest  
4693,1,Sentiment140, so many work
4717,1,Sentiment140, someone is happppy(:
4719,0,Sentiment140, someone on AIM named Ur Numba 1 Stlkr just IMed me and i'm scared.       
4724,0,Sentiment140, Something is wrong with my iphone. How will I survive?!?
4731,0,Sentiment140, Sore throat! I have a really bad head cold  and I have a hench bruise from my blood test! 
4747,0,Sentiment140," Stopping Ulduar progression for a while with only 3 bosses down. I guess Ignis needs 3 tanks, and we only have 2 geared ones who show up"
4801,0,Sentiment140,#dontyouhate when it's a rainy night and u don't have anyone to cuddle next too 
4820,0,Sentiment140, that's sad #squarespace
4831,0,Sentiment140, the end of him and me. very sad ending.
4836,0,Sentiment140, the kings of leon used to be so good. this song was not made to sound good played live. thanks for selling out
4880,0,Sentiment140,"#E3 you people are lucky to watch it, I'm stuck at work "
4902,0,Sentiment140,#f1 my avatar hasn't updated on Tweetie 
4906,1,Sentiment140,#f1 wish I got out of bed earlier. never knew the weather was going to cause so much fun. Excellent season so far 
4979,0,Sentiment140, Twitter on Xbox
5011,1,Sentiment140, watching my best friends wedding.
5019,1,Sentiment140, we can finally relax-finals are over for all of us xD then comes summer vacay!! so excited...
5023,1,Sentiment140, We know who thats for ;] shhh.
5083,0,Sentiment140, why must i miss EVERYTHING  apparently #LVATT or #LinesVinesAndTryingTimes was trending &amp; where was i? sleeping
5158,1,Sentiment140,"!!!! My next door neighbour just gave me an awesome Diversity poster =D =D =D Yaaaay! Made my day  Ooh, that rhymes..."
5163,1,Sentiment140,!!!Veryy Bored!!!  ~~Craving Million's Of MilkShakes~~
5168,1,Sentiment140,"!@cway1979 Thanks boo, I appreciate it. "
5173,1,Sentiment140,"!@lolunix both #! and !@ are unsearchable too, thanks to regex strips "
5182,0,Kaggle," DA VINCI CODE SUCKS.
5210,1,Sentiment140,"#33 - Most Viewed (Today) - Reporters #33 - Most Viewed (This Week) - Reporters on YouTube, yay  http://www.youtube.com/user/Jazzabelle85"
5234,0,Sentiment140,#3turnoffwords size dont matter... 
5239,1,Sentiment140,#3wordsaftersex im so tired! 
5257,1,Sentiment140,#AllTimeLowSuckMoreCockThanAWellPaidWhore    repost this shit for the love of sanity
5341,1,Sentiment140,#followfriday @creattica @inspiredm @ronicadesign @JamisonKelly @AndyBeard @KISSmetrics... maybe I'm repeating myself but they're great! 
5524,0,Sentiment140, missin my boys rip casey &amp;&amp; michael
5574,0,Sentiment140,"#anewday at home 4 me means 0 H2O, pot of coffee, and 0 food intake "
5686,1,Sentiment140,#gimmefailwhale  i want thosee  #gimmiefailwhale
5758,1,Sentiment140,#haveyouever listened to Lights? she's awesome. goodnight now 
5780,0,Sentiment140, no James 2day maybe ill c him 2morrow
5832,0,Sentiment140,"#bgt Eugh, i really dont know who i want to win, i love like.. 3 of them! Eughh!!! "
5846,0,Sentiment140, Not feeling so hot...
5859,0,Sentiment140, not sure about something.
5884,0,Sentiment140, ok bye alex have fun today
5915,1,Sentiment140,#bufest on sunday. apparently 
6020,1,Sentiment140,#com125: we have a quiz! again .. Feliza is bugging us again  its getting very annoying!
6038,1,Sentiment140,#humor #viccek  - Mobil WC: http://tinyurl.com/r2jlvs
6057,1,Sentiment140,#imperfectangel 
6090,0,Sentiment140, really upset
6123,0,Sentiment140, sad times at the mo but im a strong lil lady and i will get through it 
6133,0,Sentiment140,#inaperfectworld N0 0NE W0UlD HAVE b.0.  [EEEEk!!!]
6204,1,Sentiment140, so happy. going to the Blink/FOB/P!ATD show ))
6251,0,Sentiment140,"#dontyouhate being the youngest in your family, and getting all the hand-me-downs? "
6274,1,Sentiment140,#doyourememberwhen .. my lips first touched yours &lt;3 @rhyantweets 
6278,0,Sentiment140, so pm this weekend started out greaaaaat even though manduh had to leave meh 
6289,0,Sentiment140, Some of my @s aren't getting to my phone so I end up missing the important things... (i.e. Bumblebee's whereabouts)
6291,0,Sentiment140," Some people forgot, there were no gifts, went 2 bed early and sober, it rained cats, dogs, and everything between except a B-day cake!"
6310,0,Sentiment140," still kinda sick,,, working from my bed is not helping..."
6322,0,Sentiment140,#drupal fighting with panels and menus! Can't add a new tab to the &quot;My account&quot; page with has an argument. 
6334,1,Sentiment140,"#eBucks =&gt;  http://tr.im/ngOT maybe, we'll see after we've moved into the house. Could be awesome "
6400,1,Sentiment140,#fb is going to the talent show at DCHS! 
6409,1,Sentiment140,#FF  JOY co- creators: @theelfinpoet @womanlinks @MsFitUniverse @cath4608 @silixell @creationsoflove @frankannie @EarthLifeShop
6435,0,Sentiment140,#ivf means i have to take antibiotics before ceri's procedure... they give me indigestion 
6455,0,Sentiment140,#JustsoUknow @Arsiney is giving me the daddy talk over text.  smh.. i cant do nothing witout being under a micro!!
6479,0,Sentiment140,#firstrecord  double dutch bus on a 45... Damn im getting old 
6490,1,Sentiment140,#Flawless# to win 
6527,0,Sentiment140, thanks jimmy fallon for reminding me it's father's day this weekend. i don't want to work. screw you roger.
6538,0,Sentiment140,#kies09 Congrats Yorkshire and Humber. Your region is now represented by a fascist in the E.P. BNP gets 1 of the 6 seats! 
6552,0,Sentiment140,#lrnchat tonight.! wish I could stay for the entire chat. may leave early for a community meeting 
6615,1,Sentiment140,#MrTweet I recommend @darrencarter because he likes his women like he likes his Twitter... customizable and done several times daily. 
6677,1,Sentiment140,#musicmonday elevate -&gt; new single &quot;time will fly&quot;  www.elevate-music.com or www.myspace.com/elevateweb
6681,1,Sentiment140,#musicmonday FOLLOW ME PEEPS! 
6750,1,Sentiment140,#followfriday @yessy @Mr_Smike @PerroWOW @Cherry_Land @3rn3x @rkgarcia @xrandy  feliz viernes!!
6755,1,Sentiment140,#followfriday biscuittmfs @sxypanda @datscottguy @ephram_ @weywahoo @sishong @knittykim @gunkey @princetim @drumstix @soccc @socalpie  &lt;3
6809,1,Sentiment140,#followfriday Just a short one: @TaylorWilde. (Don't hurt me.) 
6871,1,Sentiment140,#myweakness Zac Efron 
6876,1,Sentiment140,#nba lebron - 1 on 5 - that's what we like 
6885,1,Sentiment140,#fritzl THAT SICK SON OF A BITCH! GO LOCK HIM UP IN A BASEMENT AND LET HIM EXPERIENCE THAT PAIN!!! LOL 
6894,1,Sentiment140,#geekcamp thks @kamal for the Internet  more stable now
6905,1,Sentiment140,"#Goodnight! Don't let the bed bugs bite! Oops, I guess the jokes on the parents! "
6976,1,Sentiment140,"#hattrick Cup game tonight, expecting a thrashing. Sunday however, first ever league game against my son. On Fathers Day! So I should win "
7045,1,Sentiment140,#SanctuarySunday @pizzini3000 we are on a mission today to keep it a trending topic 
7088,0,Sentiment140,"#howarewe 1/10 Not happy, just little things pissing me off today. Have a migraine and need to revise/work. Just hate everything today "
7110,1,Sentiment140,"#Sims 3: Lots of fun.  Amazingly flexible item/house designer.  Need more men's hair opt., deeper gameplay.  My Sim is dating a cop. "
7126,1,Sentiment140,#HughLaurie is a trending topic!! Woooooooo it's amazing what a sucessful american medical drama does for the career!! 
7148,1,Sentiment140,#ihate when someone post a link without related description (maybe 'coz i have indescribable urge to click on every link that pops out 
7178,0,Sentiment140,#squarespace is my new love affair but I don't have enough time 
7202,0,Sentiment140,#inaperfectworld a week wud be of 365 days cuz i spent the best week of my life frm 7th-13th and it got ovr in a flash 
7301,0,Sentiment140,"#threadless I wish I were wearing Roughin' It, but I'm definitely staying in cleaning bathrooms today. "
7302,1,Sentiment140,"#threethingsilove - beer,pizza and the gf.. and yes.. in that order.. "
7306,1,Sentiment140,#totd faves: Time for bed...have a good night/day  ...see you in the am...if you...: faves: Time for bed.. http://ad.vu/c2sh
7314,1,Sentiment140,#True Blood Season 02 chapter 1 http://bit.ly/t2Fru   #fb
7360,0,Sentiment140,#iremember having to dial *69 to see who just called..because their wasnt any caller id. 
7373,1,Sentiment140,"#TWTRCON  advice u need a strategy and a target audience, be funny - don't twtr 2 much (oops - breaking that rule 2day  ) ^GW"
7426,1,Sentiment140,"#iremember when if you had shotgun 56k dial-up, you were a God among men.  "
7474,1,Sentiment140,#iswearididntlearnthisatall  #s2istheworst4chaptertextbookever   i prefer #skylarksandsquirrels 
7584,0,Sentiment140,&amp; @smfl93 no one else has twitters 
7603,1,Sentiment140,&amp; likely a temp job/intern gives you feel for Co/Industry before jumping in. Could be you don't want to be there hindsight is 
7612,0,Sentiment140,&amp; pretending to not see me. My friend told me she guess he was embarrassed by the moment. I think he's dumb. But he's so hot &amp; sweet! 
7644,1,Sentiment140,"#MOCKBA - monday flashmob, second attempt "
7654,1,Sentiment140,#mscosconf Slide-free lightning talk wasn't planned as slide-free. Went OK anyhow 
7681,0,Sentiment140,#musicmonday i got the blues today     ***sad  *****
7704,1,Sentiment140,"#musicmonday Rise above, we're gonna rise above! And @honeysuckle, thanks for the props!  â™« http://blip.fm/~7gp1i"
7712,1,Sentiment140,#musicmonday trouble by nevershoutnever. great song! 
7722,0,Sentiment140,#mw2   &quot;Modern Warfare 2 E3 2009 IGN Interview.mov&quot; -- Upload Failed: An unknown error occurred. Damn you youtube! ;)
7745,0,Sentiment140,#myweakness &quot;he&quot;'s touch..it's magical...nothing like cuddling and being massaged at the same time..i miss &quot;he&quot;'s touch 
7800,1,Sentiment140,&amp;the kitchen sink it was! 
7877,0,Sentiment140,#opera seems to be running behind on reinventing the #web... it's quite a few hours past 9am CEDT and still nothing... 
7944,1,Sentiment140,#shaunjumpnow#shaunjumpnow#shaunjumpnow#shaunjumpnow #shaunjumpnow#shaunjumpnow#shaunjumpnow#shaunjumpnow #shaunjumpnow#shaunjumpnow 
7963,1,Sentiment140,"#southamericalovesmcfly Dont get worried, guys! We love you "
7986,1,Sentiment140,#squarespace give me the iPhone and nobody gets hurt! 
8069,1,Sentiment140,#thingsmummysaid &quot;you know you got that from mommy&quot; 
8090,1,Sentiment140,"#Turkish Grand Prix , anyone but Button. "
8105,0,Sentiment140,&lt;--- TRES excited!! We bought a baby fig tree today @RichtersHerbs . No hibiscus or Meyer lemons though 
8204,1,Sentiment140,&quot;...you're still the one I â™¥...&quot; -smiles-  â™« http://blip.fm/~7jgct
8278,1,Sentiment140,#whyITweet  we tweet to let the world know about our yummy cakes 
8333,1,Sentiment140,- time to do the N-to-da-7-to-da-E-to-da-AirTrain dance to JFK 
8348,0,Sentiment140, today just suckedd
8355,1,Sentiment140, too good right now.
8360,0,Sentiment140,- True genius strikes again! I left my Uni key at home 
8392,1,Sentiment140,#youspecialwhen I ask you to a drop for tehbored radio vol 3...@MarieLuv I'm looking at you. 
8449,0,Sentiment140,$20 to park at the tweeter center. Holy crap!!! Missed most of Cheap Trick  Poison is up next. Then Def Leppard.
8458,1,Sentiment140,"$50-$80 per day could be very useful, Check out this FREE guide, you can download  http://bit.ly/tEdkp"
8478,0,Sentiment140,&amp; he is not Father of any of those kids. Poor baby. 
8482,0,Sentiment140,&amp; I haven't played in forevs so this should be interesting! But this will be my last real game ever  So I'm sucking it up &amp; soaking it in!
8503,1,Sentiment140,"&amp; the epic journey has begun. Monsoon in savannah, lost itinerary &amp; at gate record breaking 27 min b4 take off  good sign? Hope so #fb"
8507,0,Sentiment140,"&amp; tomorrow going to the doctor, to be checked for the fluuuu "
8509,0,Sentiment140,&amp; we know its never simple never easy. never a clean break. no one here to save me. 
8526,1,Sentiment140,&amp;never gotten closure. But maybe closure is just moving on&amp; being happy  I'd like to be optimistic for once &amp;hope I'm actually doing that.
8534,1,Sentiment140,- Trying to figure out this twitter thingie 
8581,1,Sentiment140,&quot;can i buy you with my tickets?&quot; &quot;we are going in the hole&quot;...  &lt;3
8615,1,Sentiment140," watched UP with @iggyeatsindie @lonelypker and ryan. 2 months 'til bff leaves for japan =( but today was good, thanks Lord."
8629,0,Sentiment140, Well ima go be emo now and cry. Thanks guys. Thanks.
8630,0,Sentiment140," we'll miss you, Rodney Harrison (Please don't pull a Brett Favre!) http://tinyurl.com/r2ugdk"
8631,1,Sentiment140, Well we have 2 new colts. I'll be posting them on our MySpace and Website join us on MySpace http://tinyurl.com/cnyn7l
8690,0,Sentiment140,"&lt;--------------- Needs to stop reading @donniewahlberg tweets....I am crying like a baby   You had me at hello ddub, you had me at hello.."
8694,0,Sentiment140, where is everybody!
8708,0,Sentiment140, Why do I always have problems with Reason?? 
8713,0,Sentiment140,- Why Does No1 Wanna Sleep? 
8719,0,Sentiment140, Why is my  3.0 iPhone update taking so long?
8781,1,Sentiment140, working and im really excited about new moon the clip last night was awesome!! and Congrats to everyone in Twilight for their awards!
8782,0,Sentiment140, working late... real late
8834,1,Sentiment140,!ubuntuhu The new ubuntu.hu is awesome! 
8838,0,Sentiment140,# @Catherine42 I wouldn't mind but I only had 1/2 a portion &amp; then left 1/2 the cream  just fruit for me then until my hols  x
8839,1,Sentiment140,# @DeliciousLunch ... dark chocolate cookies? oh you tease! I'm writing to day n dipping into twitter for company 
8850,0,Sentiment140,#@!$#@&amp;*!!! Big Fat 1 1/4&quot; rib eye cooked to perfection was SPOILED!  The piece of chicken breast was not a suitable substitute 
8877,1,Sentiment140,&lt;3 Culture Club... 
8962,1,Sentiment140,"&quot; Become a human transformer, a virtual router to connect others &quot; -  RmS"
8971,1,Sentiment140,&quot;feliz dia mamiiiiii Te Amooo! Dios te Bendigaa!! GRACIAS!&quot;   -  Jackelin Celedon Mares  from Facebook  - Her Spanish is better than mine 
8973,0,Sentiment140,&quot;fire of anatolia&quot; is fired... costumes are destroyed... it's so poor situation 
8986,1,Sentiment140,&quot;get down in this rage with me...it takes 2 to dance baby&quot; listening to @thetalkabout on myspace 
8994,1,Sentiment140,&quot;Good morning sunshine. The earth says 'hello'.&quot; (Johnny Depp as Willy Wonka). 
8996,1,Sentiment140,&quot;Got Love to Kill&quot; - Juliette &amp; the Licks. Julian Wilson's section in Stranger than Fiction.... so amazing...   
9005,0,Sentiment140,&quot; Thinking about school 
9058,1,Sentiment140,"&quot;hey, guess what.&quot; | &quot;what?&quot; | &quot;that's what.&quot; | LMFAO !!! "
9072,1,Sentiment140,"&quot;All the rainbows in the sky Start to weep, then say goodbye You won't be seeing rainbows any more&quot;  "
9100,1,Sentiment140,#adinarayanap - Welcome to twitter.  Hope you enjoy the movie at my place 
9158,1,Sentiment140,&quot;Because I knew you I have been changed for good&quot; Gotta love Wicked  I own some of the streamers they let off at the beginning of the show
9227,0,Sentiment140,"#bgt I LOVE 2 Grand, i think they are really sweet! But then holly is such an amazing singer for a 10 year old and i really love Julian! "
9245,1,Sentiment140,#blacksquadron Hide? I'm already well hidden  Like a nerdy ninja
9255,1,Sentiment140,#brazillovesmcfly and so do i 
9274,0,Sentiment140,&quot;i just want back go your head&quot; 
9282,1,Sentiment140,&quot;i like you more than my guitar.&quot;  
9303,1,Sentiment140,#charitytuesday @bullyinguk @smiletrain @childrens_trust @diabetesuk @eczemasupport @hearingdogs @air_ambulance @MADECHARITY &lt; follow pls 
9321,1,Sentiment140,#coffee 
9354,0,Sentiment140,"#dontoyulove that i can be myself around you, but #dontyouhate that you'll never know the difference..... "
